127.0.0.1, 2018-10-22 14:57:56, GET, /admin/static/_2.17.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.002023
127.0.0.1, 2018-10-22 14:57:56, GET, /admin/static/_2.17.2/css/bootstrap.min.css, HTTP/1.1, 200, 0.001272
127.0.0.1, 2018-10-22 14:57:56, GET, /admin/static/_2.17.2/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001259
127.0.0.1, 2018-10-22 14:57:56, GET, /admin/static/_2.17.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002562
127.0.0.1, 2018-10-22 14:57:56, GET, /admin/static/_2.17.2/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002667
127.0.0.1, 2018-10-22 14:57:56, GET, /admin/static/_2.17.2/images/questions.png, HTTP/1.1, 200, 0.001559
127.0.0.1, 2018-10-22 14:57:56, GET, /admin/static/_2.17.2/js/bootstrap.min.js, HTTP/1.1, 200, 0.000997
127.0.0.1, 2018-10-22 14:57:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000271
127.0.0.1, 2018-10-22 14:58:02, POST, /admin/default/index, HTTP/1.1, 303, 0.010161
127.0.0.1, 2018-10-22 14:58:02, GET, /admin/default/peek/welcome/controllers/default.py, HTTP/1.1, 200, 0.024036
127.0.0.1, 2018-10-22 14:58:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000167
127.0.0.1, 2018-10-22 14:59:38, GET, /admin/default/site, HTTP/1.1, 200, 0.034016
127.0.0.1, 2018-10-22 14:59:38, GET, /admin/static/_2.17.2/images/folder.png, HTTP/1.1, 200, 0.001396
127.0.0.1, 2018-10-22 14:59:38, GET, /admin/static/_2.17.2/images/folder_locked.png, HTTP/1.1, 200, 0.002240
127.0.0.1, 2018-10-22 14:59:38, GET, /admin/static/_2.17.2/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001012
127.0.0.1, 2018-10-22 14:59:38, POST, /admin/default/check_version, HTTP/1.1, 200, 0.208990
127.0.0.1, 2018-10-22 14:59:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000153
127.0.0.1, 2018-10-22 14:59:47, GET, /admin/default/reload_routes, HTTP/1.1, 303, 0.016668
127.0.0.1, 2018-10-22 14:59:47, GET, /admin/default/site, HTTP/1.1, 200, 0.015623
127.0.0.1, 2018-10-22 15:00:03, POST, /admin/default/site, HTTP/1.1, 200, 0.017811
127.0.0.1, 2018-10-22 15:00:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000179
127.0.0.1, 2018-10-22 15:00:08, POST, /admin/default/site, HTTP/1.1, 200, 0.020322
127.0.0.1, 2018-10-22 15:00:12, POST, /admin/default/site, HTTP/1.1, 303, 0.059433
127.0.0.1, 2018-10-22 15:00:12, GET, /admin/default/design/lifeTracker, HTTP/1.1, 200, 0.097481
127.0.0.1, 2018-10-22 15:00:12, GET, /admin/static/_2.17.2/images/search.png, HTTP/1.1, 200, 0.001653
127.0.0.1, 2018-10-22 15:00:12, GET, /admin/static/_2.17.2/images/help.png, HTTP/1.1, 200, 0.001070
127.0.0.1, 2018-10-22 15:00:12, GET, /admin/static/_2.17.2/images/delete_icon.png, HTTP/1.1, 200, 0.000759
